"X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92"
1414.12,7.87589,44.6301,5.01193,6.44391,4.53461,12.1718,7.39857,11.9332,0,0,1.67064,1.67064,2.14797,1.19332,0.71599,0.477327,0,0,0,0.71599,10.0239,9.54654,9.54654,7.63723,4.05728,2.14797,0.954654,0,0,0.477327,0.954654,1.43198,1.19332,0.238663,0.71599,0,0,0,0,0,1.90931,1.19332,1.90931,0.954654,0.238663,0.238663,0,0,0,0,0.477327,1.19332,1.43198,1.43198,0,0,0,0,0,0,2.86396,2.6253,3.57995,1.19332,1.19332,0.71599,0,0,0,0,1.19332,2.14797,2.38663,0.954654,0.238663,0.477327,0,0,0,1.67064,6.92124,1.90931,1.19332,0.238663,0,0,0,0
374.625,1.8018,62.1622,1.8018,4.5045,0,10.8108,5.40541,13.5135,0,0,0,0,0,0,0.900901,0.900901,0,0,0,0,9.90991,14.4144,12.6126,14.4144,4.5045,5.40541,0.900901,0,0,0,0,0,0,0,0.900901,0.900901,0,0,0,0.900901,1.8018,1.8018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6036,3.6036,1.8018,0,1.8018,0,0,0,0,0.900901,0.900901,0,0,1.8018,1.8018,0,0,0,1.8018,3.6036,3.6036,4.5045,0,0,0,0,0
371.25,18.1818,34.5455,0.909091,17.2727,0,18.1818,8.18182,2.72727,0,0,0.909091,2.72727,3.63636,0,0,9.09091,1.81818,0,0,0,4.54545,0.909091,3.63636,1.81818,2.72727,18.1818,2.72727,0,0,0,0,0,0,0,0.909091,0,0,0,0,0,6.36364,4.54545,4.54545,1.81818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.54545,3.63636,1.81818,4.54545,2.72727,0,0.909091,0,0,0,2.72727,1.81818,2.72727,0,0.909091,0,0,0,0,1.81818,0,0.909091,0,0,0,0,0,0
313.875,0,49.4624,1.07527,18.2796,0,16.129,2.15054,12.9032,0,0,0,0,0,0,0,0,0,0,0,0,2.15054,7.52688,17.2043,11.828,10.7527,0,0,0,0,0,0,0,0,1.07527,0,0,0,0,0,0,6.45161,8.60215,2.15054,1.07527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30108,2.15054,1.07527,2.15054,5.37634,1.07527,0,0,0,0,0,1.07527,1.07527,0,0,0,0,0,0,1.07527,5.37634,5.37634,1.07527,0,0,0,0,0
280.125,14.4578,37.3494,2.40964,13.253,6.0241,12.0482,10.8434,3.61446,0,0,0,0,1.20482,6.0241,4.81928,2.40964,0,0,0,0,0,2.40964,6.0241,1.20482,10.8434,15.6627,1.20482,0,0,0,2.40964,0,0,0,0,0,0,0,0,0,2.40964,1.20482,2.40964,4.81928,2.40964,0,0,0,0,0,0,0,2.40964,2.40964,1.20482,0,0,0,0,0,4.81928,0,3.61446,1.20482,0,2.40964,0,0,0,1.20482,2.40964,0,0,0,3.61446,3.61446,0,0,0,1.20482,1.20482,1.20482,0,0,0,0,0,0
270,6.25,50,5,0,11.25,5,8.75,13.75,0,0,0,0,0,2.5,2.5,1.25,0,0,0,0,22.5,11.25,13.75,2.5,0,0,0,0,0,0,0,2.5,1.25,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,2.5,6.25,1.25,0,0,0,0,0,0,0,1.25,2.5,0,1.25,0,0,0,0,0,5,3.75,0,0,0,0,0,0,0,1.25,5,5,2.5,0,0,0,0,0
